,Url,Brand,Model,Price,Year,Fuel_type,Gear_box,City,Body_type
0,https://autoplius.lt/skelbimai/volvo-745-universalas-1991-benzinas-22859000.html,Volvo,745,4 500 ,1991,Benzinas,Mechaninė,Vilnius,Universalas
1,https://autoplius.lt/skelbimai/bmw-x1-1-5-l-visureigis-2018-benzinas-22841962.html,BMW,X1,19 299 ,2018-01,Benzinas,Automatinė,Vilnius,Visureigis
2,https://autoplius.lt/skelbimai/audi-a7-sportback-2-0-l-hecbekas-2019-dyzelinas-22858748.html,Audi,A7 SPORTBACK,38 000 ,2019-10,Dyzelinas,Automatinė,Vilnius,Hečbekas
3,https://autoplius.lt/skelbimai/bmw-530-3-0-l-sedanas-2005-dyzelinas-22860006.html,BMW,530,5 300 ,2005,Dyzelinas,Automatinė,Vilnius,Sedanas
4,https://autoplius.lt/skelbimai/audi-a4-2-0-l-universalas-2008-dyzelinas-22861140.html,Audi,A4,7 900 ,2008-11,Dyzelinas,Automatinė,Klaipėda,Universalas
5,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2014-dyzelinas-22398648.html,Volkswagen,Passat,8 100 ,2014-03,Dyzelinas,Mechaninė,Vilnius,Universalas
6,https://autoplius.lt/skelbimai/audi-a4-2-0-l-universalas-2017-dyzelinas-21271093.html,Audi,A4,18 513 ,2017-03,Dyzelinas,Automatinė,Vilnius,Universalas
7,https://autoplius.lt/skelbimai/bmw-530-3-0-l-sedanas-2004-dyzelinas-22857170.html,BMW,530,4 100 ,2004-11,Dyzelinas,Automatinė,Tauragė,Sedanas
8,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2017-dyzelinas-22446362.html,Volkswagen,Passat,11 900 ,2017-07,Dyzelinas,Mechaninė,Vilnius,Universalas
9,https://autoplius.lt/skelbimai/bmw-520-2-0-l-universalas-2015-dyzelinas-22777484.html,BMW,520,13 900 ,2015-10,Dyzelinas,Automatinė,Alytus,Universalas
10,https://autoplius.lt/skelbimai/toyota-c-hr-1-8-l-visureigis-2018-benzinas-elektra-22857368.html,Toyota,C-HR,19 800 ,2018-07,Benzinas / elektra,Automatinė,Vilnius,Visureigis
11,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2006-dyzelinas-22755588.html,Volkswagen,Passat,1 500 ,2006-12,Dyzelinas,Mechaninė,Vilnius,Universalas
12,https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2006-dyzelinas-22545180.html,BMW,320,3 200 ,2006,Dyzelinas,Mechaninė,Vilnius,Universalas
13,https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2005-dyzelinas-22844634.html,BMW,320,3 450 ,2005-12,Dyzelinas,Automatinė,Panevėžys,Universalas
14,https://autoplius.lt/skelbimai/skoda-citigo-1-0-l-hecbekas-2015-benzinas-22524102.html,Skoda,Citigo,4 950 ,2015-12,Benzinas,Mechaninė,Vilnius,Hečbekas
15,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2008-dyzelinas-22851006.html,Audi,A6,5 599 ,2008-08,Dyzelinas,Automatinė,Vilnius,Universalas
16,https://autoplius.lt/skelbimai/mini-cooper-1-6-l-hecbekas-2010-benzinas-22820740.html,Mini,Cooper,6 600 ,2010-03,Benzinas,Mechaninė,Vilnius,Hečbekas
17,https://autoplius.lt/skelbimai/volvo-xc70-2-4-l-universalas-2008-dyzelinas-22739130.html,Volvo,XC70,6 700 ,2008,Dyzelinas,Automatinė,Ukmergė,Universalas
18,https://autoplius.lt/skelbimai/land-rover-range-rover-sport-3-0-l-visureigis-2006-dyzelinas-22853820.html,Land,Rover Range Rover Sport,6 800 ,2006-07,Dyzelinas,Automatinė,Radviliškis,Visureigis
19,https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2010-dyzelinas-22772194.html,BMW,320,6 900 ,2010-12,Dyzelinas,Automatinė,Vilnius,Universalas
